aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3001596	OXA-405	OXA-405	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001596	OXA-405	OXA-405	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001597	OXA-406	OXA-406	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001597	OXA-406	OXA-406	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001598	OXA-407	OXA-407	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001598	OXA-407	OXA-407	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001599	OXA-408	OXA-408	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001599	OXA-408	OXA-408	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001600	OXA-409	OXA-409	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001600	OXA-409	OXA-409	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001601	OXA-410	OXA-410	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001602	OXA-411	OXA-411	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001602	OXA-411	OXA-411	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001603	OXA-412	OXA-412	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001603	OXA-412	OXA-412	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001604	OXA-413	OXA-413	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001604	OXA-413	OXA-413	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001605	OXA-414	OXA-414	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001605	OXA-414	OXA-414	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001606	OXA-415	OXA-415	OXA beta-lactamase;OXA-2-like beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001606	OXA-415	OXA-415	OXA beta-lactamase;OXA-2-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001607	OXA-416	OXA-416	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001607	OXA-416	OXA-416	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001608	OXA-417	OXA-417	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001608	OXA-417	OXA-417	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3002496	OXA-418	OXA-418	OXA beta-lactamase;OXA-229-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3002496	OXA-418	OXA-418	OXA beta-lactamase;OXA-229-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001769	OXA-42	OXA-42	OXA beta-lactamase;OXA-42-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003116	OXA-420	OXA-420	OXA beta-lactamase;OXA-58-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003116	OXA-420	OXA-420	OXA beta-lactamase;OXA-58-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003117	OXA-421	OXA-421	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003117	OXA-421	OXA-421	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003160	OXA-422	OXA-422	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003160	OXA-422	OXA-422	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003161	OXA-423	OXA-423	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003161	OXA-423	OXA-423	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003147	OXA-424	OXA-424	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003147	OXA-424	OXA-424	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003148	OXA-425	OXA-425	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003148	OXA-425	OXA-425	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003149	OXA-426	OXA-426	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003149	OXA-426	OXA-426	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003115	OXA-427	OXA-427	OXA beta-lactamase;OXA-427-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003115	OXA-427	OXA-427	OXA beta-lactamase;OXA-427-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003120	OXA-429	OXA-429	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003120	OXA-429	OXA-429	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001770	OXA-43	OXA-43	OXA beta-lactamase;OXA-42-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003121	OXA-430	OXA-430	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003121	OXA-430	OXA-430	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003124	OXA-431	OXA-431	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003124	OXA-431	OXA-431	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
