aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3005733	OXA-503	OXA-503	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005733	OXA-503	OXA-503	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005734	OXA-504	OXA-504	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005735	OXA-505	OXA-505	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005735	OXA-505	OXA-505	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005736	OXA-506	OXA-506	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005736	OXA-506	OXA-506	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005737	OXA-507	OXA-507	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005737	OXA-507	OXA-507	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005738	OXA-508	OXA-508	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005738	OXA-508	OXA-508	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005739	OXA-509	OXA-509	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005739	OXA-509	OXA-509	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
