gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
tet(38)	WP_001100299.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(38)	WP_001100300.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(38)	WP_001100289.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(38)	WP_001100296.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(38)	WP_001100293.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(38)	WP_001100294.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(39)	WP_004856455.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(40)	WP_063855880.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(40)	WP_015573055.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(40)	WP_024407615.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(40)	WP_009247026.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(41)	WP_063855881.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(42)	WP_063855882.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(44)	WP_003454408.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(44)	WP_063855884.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(45)	WP_063855885.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(47)	WP_099982804.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(48)	WP_099982805.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(49)	WP_099982806.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(50)	WP_099982807.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(51)	WP_099982808.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(52)	WP_099982809.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(53)	WP_099982810.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(54)	WP_099982811.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(55)	WP_148044404.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(56)	WP_003635403.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(57)	WP_100931729.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(59)	WP_001031679.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(59)	WP_042846365.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(62)	WP_197749400.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(63)	WP_050437591.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(64)	WP_124470450.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(65)	WP_152609570.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_011645018.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_063855886.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_063855887.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_063855888.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_000804063.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_000804064.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_063855982.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_001973670.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_031942321.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
