gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
msr(G)	WP_101035417.1	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/PRISTINAMYCIN	macrolide	erythromycin
msr(G)	WP_101035417.1	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/PRISTINAMYCIN	macrolide	pristinamycin
msr(G)	WP_101035417.1	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/PRISTINAMYCIN	streptogramin	azithromycin
msr(G)	WP_101035417.1	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/PRISTINAMYCIN	streptogramin	erythromycin
msr(G)	WP_101035417.1	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/PRISTINAMYCIN	streptogramin	pristinamycin
msr(I)	WP_198462967.1	AMR	MACROLIDE	MACROLIDE	macrolide	macrolide
msrF	WP_164941513.1	AMR	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/PRISTINAMYCIN	macrolide	erythromycin
msrF	WP_164941513.1	AMR	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/PRISTINAMYCIN	macrolide	pristinamycin
msrF	WP_164941513.1	AMR	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/PRISTINAMYCIN	streptogramin	erythromycin
msrF	WP_164941513.1	AMR	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/PRISTINAMYCIN	streptogramin	pristinamycin
