canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
risedronate	ARO:3007095	beta-lactamase inhibitor		aro_obo
s02030	ARO:3007138	beta-lactamase inhibitor		aro_obo
serine beta-lactamase inhibitor	ARO:3007128	beta-lactamase inhibitor		aro_obo
sulbactam	ARO:3000587	beta-lactamase inhibitor		aro_obo
syn-1012	ARO:3004852	beta-lactamase inhibitor		aro_obo
taniborbactam	ARO:3007147	beta-lactamase inhibitor		aro_obo
tazobactam	ARO:0000077	beta-lactamase inhibitor		aro_obo
thiorphan	ARO:3007302	beta-lactamase inhibitor		aro_obo
tiopronin	ARO:3007303	beta-lactamase inhibitor		aro_obo
trispicen	ARO:3005202	beta-lactamase inhibitor		aro_obo
trispicen a	ARO:3007221	beta-lactamase inhibitor		aro_obo
unclassified metallo-beta-lactamase inhibitor	ARO:3007136	beta-lactamase inhibitor		aro_obo
unclassified serine beta-lactamase inhibitor	ARO:3007132	beta-lactamase inhibitor		aro_obo
unithiol	ARO:3007140	beta-lactamase inhibitor		aro_obo
vaborbactam	ARO:3004380	beta-lactamase inhibitor		aro_obo
xeruborbactam	ARO:3007048	beta-lactamase inhibitor		aro_obo
zidebactam	ARO:3007296	beta-lactamase inhibitor		aro_obo
bicyclomycin	ARO:0000055	bicyclomycin-like antibiotic	ARO:3007150	aro_obo
bleomycin a2	ARO:3000691	bleomycin		aro_obo
bleomycin b2	ARO:3000692	bleomycin		aro_obo
bleomycinic acid	ARO:3000690	bleomycin		aro_obo
biapenem	ARO:3007083	carbapenem	ARO:0000020	aro_obo
doripenem	ARO:3000640	carbapenem	ARO:0000020	aro_obo
ertapenem	ARO:0000070	carbapenem	ARO:0000020	aro_obo
imipenem	ARO:3000170	carbapenem	ARO:0000020	aro_obo
meropenem	ARO:0000073	carbapenem	ARO:0000020	aro_obo
panipenem	ARO:3003708	carbapenem	ARO:0000020	aro_obo
sulopenem	ARO:3007143	carbapenem	ARO:0000020	aro_obo
tebipenem	ARO:3004473	carbapenem	ARO:0000020	aro_obo
cefacetrile	ARO:3009112	cephalosporin	ARO:0000032	aro_obo
cefaclor	ARO:3000644	cephalosporin	ARO:0000032	aro_obo
cefadroxil	ARO:3000642	cephalosporin	ARO:0000032	aro_obo
cefalexin	ARO:3000641	cephalosporin	ARO:0000032	aro_obo
cefalotin	ARO:3000704	cephalosporin	ARO:0000032	aro_obo
cefamandole	ARO:3003999	cephalosporin	ARO:0000032	aro_obo
cefatrizine	ARO:3009111	cephalosporin	ARO:0000032	aro_obo
cefazedone	ARO:3009110	cephalosporin	ARO:0000032	aro_obo
cefazolin	ARO:0000058	cephalosporin	ARO:0000032	aro_obo
cefbuperazone	ARO:3009117	cephalosporin	ARO:0000032	aro_obo
cefcapene	ARO:3007475	cephalosporin	ARO:0000032	aro_obo
cefdinir	ARO:3000650	cephalosporin	ARO:0000032	aro_obo
cefditoren	ARO:3000649	cephalosporin	ARO:0000032	aro_obo
cefepime	ARO:0000059	cephalosporin	ARO:0000032	aro_obo
cefetamet	ARO:3004000	cephalosporin	ARO:0000032	aro_obo
cefiderocol	ARO:3004474	cephalosporin	ARO:0000032	aro_obo
