canonical_drug	canonical_class	aro_accession	category	source
mycinamicin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
narbomycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
neutramycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
niddamycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
oleandomycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
pikromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
rokitamycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
rosaramicin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
roxithromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
solithromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
spiramycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
tartrolon	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tartrolon a	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tartrolon b	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tartrolon d	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tartrolon f	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tartrolon g	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
telithromycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
tildipirosin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tilmicosin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tulathromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
tylosin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
tylvalosin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
moenomycin a1	moenomycin antibiotic	ARO:3000687	antibiotic	aro_obo
aztreonam	monobactam	ARO:0000004	antibiotic	aro_obo
bal30072	monobactam	ARO:0000004	antibiotic	aro_obo
carumonam	monobactam	ARO:0000004	antibiotic	aro_obo
lys228	monobactam	ARO:0000004	antibiotic	aro_obo
mupirocin	mupirocin-like antibiotic	ARO:3007151	antibiotic	resfinder
furazidin	nitrofuran antibiotic	ARO:3004116	antibiotic	aro_obo
furazolidone	nitrofuran antibiotic	ARO:3004116	antibiotic	aro_obo
nifuratel	nitrofuran antibiotic	ARO:3004116	antibiotic	aro_obo
nifuroxazide	nitrofuran antibiotic	ARO:3004116	antibiotic	aro_obo
nitrofurantoin	nitrofuran antibiotic	ARO:3004116	antibiotic	curated
delamanid	nitroimidazole antibiotic	ARO:3004115	antibiotic	curated
metronidazole	nitroimidazole antibiotic	ARO:3004115	antibiotic	resfinder
nitroimidazole	nitroimidazole antibiotic	ARO:3004115	antibiotic	ncbi
ornidazole	nitroimidazole antibiotic	ARO:3004115	antibiotic	aro_obo
pretomanid	nitroimidazole antibiotic	ARO:3004115	antibiotic	aro_obo
tinidazole	nitroimidazole antibiotic	ARO:3004115	antibiotic	aro_obo
5-fluorocytosine	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
a201a	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
aminonucleoside antibiotic	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
caprazamycin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
cordycepin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
pseudouridimycin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
puromycin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
streptothricin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
tunicamycin	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
zidovudine	nucleoside antibiotic	ARO:3000034	antibiotic	aro_obo
nybomycin	nybomycin-like antibiotic		antibiotic	aro_obo
avalimycin	orthosomycin antibiotic	ARO:3007166	antibiotic	aro_obo
avilamycin	orthosomycin antibiotic	ARO:3007166	antibiotic	ncbi
evernimicin	orthosomycin antibiotic	ARO:3007166	antibiotic	aro_obo
contezolid	oxazolidinone antibiotic	ARO:3000079	antibiotic	aro_obo
linezolid	oxazolidinone antibiotic	ARO:3000079	antibiotic	resfinder
oxazolidinone	oxazolidinone antibiotic	ARO:3000079	antibiotic	curated
tbi-223	oxazolidinone antibiotic	ARO:3000079	antibiotic	aro_obo
tedizolid	oxazolidinone antibiotic	ARO:3000079	antibiotic	curated
pactamycin	pactamycin-like antibiotic	ARO:3007158	antibiotic	curated
amoxicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
ampicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
aspoxicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
azidocillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
azlocillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
benzylpenicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
beta-lactamase resistant penicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
beta-lactamase sensitive penicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
carbenicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
clometocillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
cloxacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
dicloxacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
epicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
flucloxacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
hetacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
mecillinam	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
methicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
mezlocillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
nafcillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
oxacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
penamecillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
penicillin with extended spectrum	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
phenethicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
phenoxymethylpenicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
piperacillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
pivampicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
pivmecillinam	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
propicillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
temocillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
ticarcillin	penicillin antibiotic	ARO:3000008	antibiotic	aro_obo
actinomycin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
albicidin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
bpi	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
colistin	peptide antibiotic	ARO:3000053	antibiotic	resfinder
dactinomycin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
darobactin a	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
defensin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
edeine	peptide antibiotic	ARO:3000053	antibiotic	curated
edeine a	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
edeine b	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
edeine d	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
edeine f	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
enramycin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
epinecidin-1	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
formicin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin a	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin b	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin c	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin d	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
gramicidin s	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
halolitoralin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
halolitoralin a	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
halolitoralin b	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
halolitoralin c	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
klebsidin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
lugdunin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
lysocin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
lysocin (e)	peptide antibiotic	ARO:3000053	antibiotic	curated
lysocin e	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
macrocyclic peptide antibiotics	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin 1	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin 2	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin a	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin b	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin g	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
magainin h	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
microcin j25	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
mutanobactin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
nocardamine	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
oncocin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
teixobactin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
thusin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
viomycin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
zosurabalpin	peptide antibiotic	ARO:3000053	antibiotic	aro_obo
azidamfenicol	phenicol antibiotic	ARO:3000387	antibiotic	aro_obo
chloramphenicol	phenicol antibiotic	ARO:3000387	antibiotic	resfinder
florfenicol	phenicol antibiotic	ARO:3000387	antibiotic	resfinder
phenicol	phenicol antibiotic	ARO:3000387	antibiotic	ncbi
thiamphenicol	phenicol antibiotic	ARO:3000387	antibiotic	curated
fosfomycin	phosphonic acid antibiotic	ARO:3007149	antibiotic	resfinder
fosmidomycin	phosphonic acid antibiotic	ARO:3007149	antibiotic	aro_obo
azamulin	pleuromutilin antibiotic	ARO:3000670	antibiotic	aro_obo
lefamulin	pleuromutilin antibiotic	ARO:3000670	antibiotic	aro_obo
pleuromutilin	pleuromutilin antibiotic	ARO:3000670	antibiotic	ncbi
retapamulin	pleuromutilin antibiotic	ARO:3000670	antibiotic	curated
tiamulin	pleuromutilin antibiotic	ARO:3000670	antibiotic	resfinder
valnemulin	pleuromutilin antibiotic	ARO:3000670	antibiotic	aro_obo
pyrazinamide	pyrazinamide		antibiotic	resfinder
quaternary ammonium	quaternary ammonium compound		biocide	ncbi
triclosan	quaternary ammonium compound		biocide	curated
ciprofloxacin	quinolone antibiotic		antibiotic	resfinder
fluoroquinolone	quinolone antibiotic		antibiotic	resfinder
nalidixic acid	quinolone antibiotic		antibiotic	resfinder
quinolone	quinolone antibiotic		antibiotic	ncbi
lassomycin	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
rifabutin	rifamycin antibiotic	ARO:3000157	antibiotic	curated
rifalazil	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
rifampicin	rifamycin antibiotic	ARO:3000157	antibiotic	resfinder
rifampin	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
rifamycin	rifamycin antibiotic	ARO:3000157	antibiotic	ncbi
rifapentine	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
rifaximin	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
tnp-2198	rifamycin antibiotic	ARO:3000157	antibiotic	aro_obo
clofazimine	riminophenazine antibiotic		antibiotic	resfinder
diflunisal	salicylic acid antibiotic	ARO:3007159	antibiotic	aro_obo
para-aminosalicylic acid	salicylic acid antibiotic	ARO:3007159	antibiotic	resfinder
dalfopristin	streptogramin A antibiotic	ARO:0000034	antibiotic	resfinder
griseoviridin	streptogramin A antibiotic	ARO:0000034	antibiotic	aro_obo
madumycin ii	streptogramin A antibiotic	ARO:0000034	antibiotic	aro_obo
pristinamycin iia	streptogramin A antibiotic	ARO:0000034	antibiotic	resfinder
quinupristin	streptogramin A antibiotic	ARO:0000034	antibiotic	resfinder_combination_component
quinupristin+dalfopristin	streptogramin A antibiotic	ARO:0000034	antibiotic	resfinder
streptogramin a	streptogramin A antibiotic	ARO:0000034	antibiotic	curated
virginiamycin m	streptogramin A antibiotic	ARO:0000034	antibiotic	resfinder
virginiamycin m1	streptogramin A antibiotic	ARO:0000034	antibiotic	aro_obo
ostreogrycin b3	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
patricin a	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
patricin b	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
pristinamycin ia	streptogramin B antibiotic	ARO:0000050	antibiotic	resfinder
pristinamycin ib	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
pristinamycin ic	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
quinupristin	streptogramin B antibiotic	ARO:0000050	antibiotic	resfinder
streptogramin b	streptogramin B antibiotic	ARO:0000050	antibiotic	curated
vernamycin b	streptogramin B antibiotic	ARO:0000050	antibiotic	curated
vernamycin c	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
virginiamycin s	streptogramin B antibiotic	ARO:0000050	antibiotic	resfinder
virginiamycin s2	streptogramin B antibiotic	ARO:0000050	antibiotic	aro_obo
ostreogrycin	streptogramin antibiotic	ARO:0000026	antibiotic	curated
pristinamycin	streptogramin antibiotic	ARO:0000026	antibiotic	curated
streptogramin	streptogramin antibiotic	ARO:0000026	antibiotic	ncbi
virginiamycin	streptogramin antibiotic	ARO:0000026	antibiotic	curated
streptothricin	streptothricin antibiotic		antibiotic	ncbi
mafenide	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfacetamide	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfadiazine	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfadimidine	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfadoxine	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfamerazine	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfamethizole	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfamethoxazole	sulfonamide antibiotic	ARO:3000282	antibiotic	resfinder
sulfanilamide	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfasalazine	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfisoxazole	sulfonamide antibiotic	ARO:3000282	antibiotic	aro_obo
sulfonamide	sulfonamide antibiotic	ARO:3000282	antibiotic	ncbi
trimethoprim	sulfonamide antibiotic	ARO:3000282	antibiotic	resfinder
dapsone	sulphone antibiotic	ARO:3003401	antibiotic	curated
tetracenomycin	tetracenomycin antibiotic		antibiotic	ncbi
tetracenomycin a2	tetracenomycin antibiotic		antibiotic	aro_obo
tetracenomycin c	tetracenomycin antibiotic		antibiotic	aro_obo
tetracenomycin x	tetracenomycin antibiotic		antibiotic	aro_obo
chlortetracycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
demeclocycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
doxycycline	tetracycline antibiotic	ARO:3000050	antibiotic	resfinder
eravacycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
minocycline	tetracycline antibiotic	ARO:3000050	antibiotic	resfinder
omadacycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
oxytetracycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
sarecycline	tetracycline antibiotic	ARO:3000050	antibiotic	aro_obo
tetracycline	tetracycline antibiotic	ARO:3000050	antibiotic	resfinder
tigecycline	tetracycline antibiotic	ARO:3000050	antibiotic	resfinder
ethionamide	thioamide antibiotic	ARO:3007156	antibiotic	resfinder
perchlozone	thioamide antibiotic	ARO:3007156	antibiotic	curated
prothionamide	thioamide antibiotic	ARO:3007156	antibiotic	curated
perchlozone	thiosemicarbazone antibiotic	ARO:3007161	antibiotic	aro_obo
thioacetazone	thiosemicarbazone antibiotic	ARO:3007161	antibiotic	aro_obo
thiostrepton	thiostrepton		antibiotic	ncbi
gepotidacin	triazaacenaphthylene antibiotic		antibiotic	aro_obo
capreomycin	tuberactinomycin		antibiotic	ncbi
viomycin	tuberactinomycin		antibiotic	ncbi
zoliflodacin	zoliflodacin-like antibiotic	ARO:3007160	antibiotic	curated
